,acronym,expansion,language,type,doc_id
689,CCMO,Centrale Commissie Mensgebonden Onderzoek,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
690,METC's,Medisch-Ethische Toetsingcommissies,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
691,WMO,Wet medisch-wetenschappelijk onderzoek,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
692,OvG,orde van grootte,nl,in_expansion,Orde_van_grootte
693,SI,Système international d'unités,none_of_above,out_expansion,Orde_van_grootte
694,dB,decibel,nl,in_expansion,Orde_van_grootte
695,nint,nearest integer,en,in_expansion,Orde_van_grootte
696,OvG,orde van grootte,nl,in_expansion,Orde_van_grootte
697,SI,Système international d'unités,none_of_above,out_expansion,Orde_van_grootte
698,dB,decibel,nl,in_expansion,Orde_van_grootte
699,nint,nearest integer,en,in_expansion,Orde_van_grootte
700,AOC,Air Operator Certificate,en,out_expansion,TUI_Airlines
701,TUI,Touristik Union International,none_of_above,out_expansion,TUI_Airlines
702,AOC,Air Operator Certificate,en,out_expansion,TUI_Airlines
703,TUI,Touristik Union International,en,out_expansion,TUI_Airlines
704,NBV,Nieuwe Bijbelvertaling,nl,out_expansion,Christendom
705,NBV,Nieuwe Bijbelvertaling,nl,out_expansion,Christendom
706,MIT,Massachusetts Institute of Technology,en,in_expansion,Massachusetts_Institute_of_Technology
707,MIT,Massachusetts Institute of Technology,en,in_expansion,Massachusetts_Institute_of_Technology
708,Luva,Luchtmacht Vrouwenafdeling,nl,in_expansion,Militair
709,Marva,Marine Vrouwenafdeling,nl,in_expansion,Militair
710,Milva,Militaire Vrouwenafdeling,nl,in_expansion,Militair
711,Luva,Luchtmacht Vrouwenafdeling,other language,in_expansion,Militair
712,Marva,Marine Vrouwenafdeling,en,in_expansion,Militair
713,Milva,Militaire Vrouwenafdeling,en,in_expansion,Militair
714,M.S.,multiple sclerose,nl,in_expansion,Neurologie
715,M.S.,multiple sclerose,en,in_expansion,Neurologie
716,CDA,Christen-Democratisch Appèl,nl,out_expansion,Dienstplicht
717,Milac,Militianen Actie,nl,out_expansion,Dienstplicht
718,VVD,Volkspartij voor Vrijheid en Democratie,nl,out_expansion,Dienstplicht
719,VVDM,Vereniging van Dienstplichtige Militairen,nl,in_expansion,Dienstplicht
720,CDA,Christen-Democratisch Appèl,nl,out_expansion,Dienstplicht
721,Milac,Militianen Actie,nl,out_expansion,Dienstplicht
722,VVD,Volkspartij voor Vrijheid en Democratie,nl,out_expansion,Dienstplicht
723,VVDM,Vereniging van Dienstplichtige Militairen,nl,in_expansion,Dienstplicht
724,CCMO,Centrale Commissie Mensgebonden Onderzoek,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
725,METC's,Medisch-Ethische Toetsingcommissies,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
726,WMO,Wet medisch-wetenschappelijk onderzoek,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
727,CCMO,Centrale Commissie Mensgebonden Onderzoek,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
728,METC's,Medisch-Ethische Toetsingcommissies,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
729,WMO,Wet medisch-wetenschappelijk onderzoek,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
730,OvG,orde van grootte,nl,in_expansion,Orde_van_grootte
731,SI,Système international d'unités,none_of_above,out_expansion,Orde_van_grootte
732,dB,decibel,nl,in_expansion,Orde_van_grootte
733,nint,nearest integer,en,in_expansion,Orde_van_grootte
734,OvG,orde van grootte,nl,in_expansion,Orde_van_grootte
735,SI,Système international d'unités,none_of_above,out_expansion,Orde_van_grootte
736,dB,decibel,nl,in_expansion,Orde_van_grootte
737,nint,nearest integer,en,in_expansion,Orde_van_grootte
738,AOC,Air Operator Certificate,en,out_expansion,TUI_Airlines
739,TUI,Touristik Union International,none_of_above,out_expansion,TUI_Airlines
740,AOC,Air Operator Certificate,en,out_expansion,TUI_Airlines
741,TUI,Touristik Union International,en,out_expansion,TUI_Airlines
742,NBV,Nieuwe Bijbelvertaling,nl,out_expansion,Christendom
743,NBV,Nieuwe Bijbelvertaling,nl,out_expansion,Christendom
744,MIT,Massachusetts Institute of Technology,en,in_expansion,Massachusetts_Institute_of_Technology
745,MIT,Massachusetts Institute of Technology,en,in_expansion,Massachusetts_Institute_of_Technology
746,Luva,Luchtmacht Vrouwenafdeling,nl,in_expansion,Militair
747,Marva,Marine Vrouwenafdeling,nl,in_expansion,Militair
748,Milva,Militaire Vrouwenafdeling,nl,in_expansion,Militair
749,Luva,Luchtmacht Vrouwenafdeling,other language,in_expansion,Militair
750,Marva,Marine Vrouwenafdeling,en,in_expansion,Militair
751,Milva,Militaire Vrouwenafdeling,en,in_expansion,Militair
752,M.S.,multiple sclerose,nl,in_expansion,Neurologie
753,M.S.,multiple sclerose,en,in_expansion,Neurologie
754,CDA,Christen-Democratisch Appèl,nl,out_expansion,Dienstplicht
755,Milac,Militianen Actie,nl,out_expansion,Dienstplicht
756,VVD,Volkspartij voor Vrijheid en Democratie,nl,out_expansion,Dienstplicht
757,VVDM,Vereniging van Dienstplichtige Militairen,nl,in_expansion,Dienstplicht
758,CDA,Christen-Democratisch Appèl,nl,out_expansion,Dienstplicht
759,Milac,Militianen Actie,nl,out_expansion,Dienstplicht
760,VVD,Volkspartij voor Vrijheid en Democratie,nl,out_expansion,Dienstplicht
761,VVDM,Vereniging van Dienstplichtige Militairen,nl,in_expansion,Dienstplicht
762,CCMO,Centrale Commissie Mensgebonden Onderzoek,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
763,METC's,Medisch-Ethische Toetsingcommissies,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
764,WMO,Wet medisch-wetenschappelijk onderzoek,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
765,CCMO,Centrale Commissie Mensgebonden Onderzoek,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
766,METC's,Medisch-Ethische Toetsingcommissies,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
767,WMO,Wet medisch-wetenschappelijk onderzoek,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
768,OvG,orde van grootte,nl,in_expansion,Orde_van_grootte
769,SI,Système international d'unités,none_of_above,out_expansion,Orde_van_grootte
770,dB,decibel,nl,in_expansion,Orde_van_grootte
771,nint,nearest integer,en,in_expansion,Orde_van_grootte
772,OvG,orde van grootte,nl,in_expansion,Orde_van_grootte
773,SI,Système international d'unités,none_of_above,out_expansion,Orde_van_grootte
774,dB,decibel,nl,in_expansion,Orde_van_grootte
775,nint,nearest integer,en,in_expansion,Orde_van_grootte
776,AOC,Air Operator Certificate,en,out_expansion,TUI_Airlines
777,TUI,Touristik Union International,none_of_above,out_expansion,TUI_Airlines
778,AOC,Air Operator Certificate,en,out_expansion,TUI_Airlines
779,TUI,Touristik Union International,en,out_expansion,TUI_Airlines
780,BMX,Bicycle Motocross,en,in_expansion,BMX
781,BMX,Bicycle Motocross,en,in_expansion,BMX
782,BMX,Bicycle Motocross,en,in_expansion,BMX
783,BMX,Bicycle Motocross,en,in_expansion,BMX
784,ABN,Algemene Bank Nederland,nl,out_expansion,De_Nederlandsche_Bank
785,Amro,Amsterdamsche Rotterdamsche,nl,out_expansion,De_Nederlandsche_Bank
786,BNG,Bank voor Nederlandsche Gemeenten,nl,out_expansion,De_Nederlandsche_Bank
787,DNB,De Nederlandsche Bank,nl,in_expansion,De_Nederlandsche_Bank
788,ECB,Europese Centrale Bank,nl,in_expansion,De_Nederlandsche_Bank
789,ESCB,Europees Stelsel van Centrale Banken,nl,in_expansion,De_Nederlandsche_Bank
790,ESMA,European Securities and Markets Authority,en,in_expansion,De_Nederlandsche_Bank
791,FED,Federal Reserve,en,in_expansion,De_Nederlandsche_Bank
792,ING,Internationale Nederlanden Groep,en,out_expansion,De_Nederlandsche_Bank
793,NV,Naamloze Vennootschap,nl,out_expansion,De_Nederlandsche_Bank
794,NWB,Nederlandse Waterschapsbank,nl,out_expansion,De_Nederlandsche_Bank
795,PGGM,"Pensioenfonds voor Gezondheidszorg, Geestelijke en Maatschappelijke",nl,out_expansion,De_Nederlandsche_Bank
796,PVK,Pensioen- en Verzekeringskamer,nl,in_expansion,De_Nederlandsche_Bank
797,Pw,Pensioenwet,nl,in_expansion,De_Nederlandsche_Bank
798,RBS,Royal Bank of Scotland,en,out_expansion,De_Nederlandsche_Bank
799,SER,Sociaal-Economische Raad,nl,in_expansion,De_Nederlandsche_Bank
800,SNS,Samenwerkende Nederlandse Spaarbanken,nl,out_expansion,De_Nederlandsche_Bank
801,Wft,Wet financieel toezicht,nl,in_expansion,De_Nederlandsche_Bank
802,Wtk,Wet toezicht kredietwezen,nl,in_expansion,De_Nederlandsche_Bank
803,ABN Amro,Algemene Bank Nederland en de Amsterdam-Rotterdam Bank,nl,out_expansion,De_Nederlandsche_Bank
804,BNG,Bank voor Nederlandsche Gemeenten,nl,out_expansion,De_Nederlandsche_Bank
805,DNB,De Nederlandsche Bank,nl,in_expansion,De_Nederlandsche_Bank
806,ECB,Europese Centrale Bank,nl,in_expansion,De_Nederlandsche_Bank
807,ESCB,Europees Stelsel van Centrale Banken,nl,in_expansion,De_Nederlandsche_Bank
808,ESMA,European Securities and Markets Authority,en,in_expansion,De_Nederlandsche_Bank
809,FED,Federal Reserve,en,in_expansion,De_Nederlandsche_Bank
810,ING,Internationale Nederlanden Groep,nl,out_expansion,De_Nederlandsche_Bank
811,NV,Naamloze Vennootschap,nl,out_expansion,De_Nederlandsche_Bank
812,NWB,Nederlandse Waterschapsbank,nl,out_expansion,De_Nederlandsche_Bank
813,PGGM,"Pensioenfonds voor Gezondheidszorg, Geestelijke en Maatschappelijke",nl,out_expansion,De_Nederlandsche_Bank
814,PVK,Pensioen- en Verzekeringskamer,nl,in_expansion,De_Nederlandsche_Bank
815,Pw,Pensioenwet,nl,in_expansion,De_Nederlandsche_Bank
816,RBS,Royal Bank of Scotland,en,out_expansion,De_Nederlandsche_Bank
817,SER,Sociaal-Economische Raad,nl,in_expansion,De_Nederlandsche_Bank
818,SNS,Samenwerkende Nederlandse Spaarbanken,nl,out_expansion,De_Nederlandsche_Bank
819,Wft,Wet financieel toezicht,nl,in_expansion,De_Nederlandsche_Bank
820,Wtk,Wet toezicht kredietwezen,nl,in_expansion,De_Nederlandsche_Bank
821,fte,Full-time equivalent,en,out_expansion,De_Nederlandsche_Bank
822,B30,Bezuidenhoutseweg 30,nl,in_expansion,Ministerie_van_Economische_Zaken_en_Klimaat
823,D66,Democraten 66,nl,out_expansion,Ministerie_van_Economische_Zaken_en_Klimaat
824,EZ,Economische Zaken,nl,in_expansion,Ministerie_van_Economische_Zaken_en_Klimaat
825,EZK,Economische Zaken en Klimaat,nl,in_expansion,Ministerie_van_Economische_Zaken_en_Klimaat
826,LNV,"Landbouw, Natuur en Voedselkwaliteit",nl,in_expansion,Ministerie_van_Economische_Zaken_en_Klimaat
827,VVD,Volkspartij voor Vrijheid en Democratie,nl,out_expansion,Ministerie_van_Economische_Zaken_en_Klimaat
828,D66,Democraten 66,nl,out_expansion,Ministerie_van_Economische_Zaken_en_Klimaat
829,EL&I,"Economische Zaken, Landbouw en Innovatie",nl,in_expansion,Ministerie_van_Economische_Zaken_en_Klimaat
830,EZK,Economische Zaken en Klimaat,nl,in_expansion,Ministerie_van_Economische_Zaken_en_Klimaat
831,LNV,"Landbouw, Natuur en Voedselkwaliteit",nl,in_expansion,Ministerie_van_Economische_Zaken_en_Klimaat
832,VVD,Volkspartij voor Vrijheid en Democratie,nl,out_expansion,Ministerie_van_Economische_Zaken_en_Klimaat
833,CT-scans,Computer Tomografie-scans,en,out_expansion,Röntgenstraling
834,DNA,Deoxyribonucleic Acid,en,out_expansion,Röntgenstraling
835,EXAFS,Extended X-ray Absorption Fine Structure,en,out_expansion,Röntgenstraling
836,NEXAFS,Near Edge X-ray Absorption Fine Structure,en,out_expansion,Röntgenstraling
837,keV,kilo-elektronvolt,nl,in_expansion,Röntgenstraling
838,mA,milliampère,nl,in_expansion,Röntgenstraling
839,nm,nanometer,nl,out_expansion,Röntgenstraling
840,pm,picometer,nl,in_expansion,Röntgenstraling
841,°C,Celcius,nl,in_expansion,Röntgenstraling
842,A,anode,nl,in_expansion,Röntgenstraling
843,CT-scans,Computer Tomografie-scans,nl,out_expansion,Röntgenstraling
844,DNA,Deoxyribonucleic Acid,en,out_expansion,Röntgenstraling
845,EXAFS,Extended X-ray Absorption Fine Structure,en,out_expansion,Röntgenstraling
846,K,kathode,nl,in_expansion,Röntgenstraling
847,NEXAFS,Near Edge X-ray Absorption Fine Structure,en,out_expansion,Röntgenstraling
848,keV,kilo-elektronvolt,en,in_expansion,Röntgenstraling
849,mA,milliampère,nl,in_expansion,Röntgenstraling
850,nm,nanometer,nl,out_expansion,Röntgenstraling
851,pc,personal computer,en,out_expansion,Röntgenstraling
852,pm,picometer,en,in_expansion,Röntgenstraling
853,°C,Celcius,en,in_expansion,Röntgenstraling
854,CCP,Chinese Communist Party,en,out_expansion,Koude_Oorlog
855,CIA,Central Intelligence Agency,en,out_expansion,Koude_Oorlog
856,CPN,Communistische Partij van Nederland,nl,out_expansion,Koude_Oorlog
857,DDR,Duitse Democratische Republiek,nl,in_expansion,Koude_Oorlog
858,DVPA,Democratische Volkspartij van Afghanistan,nl,in_expansion,Koude_Oorlog
859,INF-verdrag,Intermediate-Range Nuclear Forces verdrag,en,out_expansion,Koude_Oorlog
860,KGB,Komitet Gosudarstvennoy Bezopasnosti,none_of_above,out_expansion,Koude_Oorlog
861,MAD,mutually assured destruction,en,in_expansion,Koude_Oorlog
862,NAVO,Noord-Atlantische Verdragsorganisatie,nl,out_expansion,Koude_Oorlog
863,SALT-verdrag,Strategic Arms Limitation Talks verdrag,en,out_expansion,Koude_Oorlog
864,SDI,Strategic Defense Initiative,en,in_expansion,Koude_Oorlog
865,SOE,Special Operations Executive,en,out_expansion,Koude_Oorlog
866,USSR,Union of Soviet Socialist Republics,en,out_expansion,Koude_Oorlog
867,VN,Verenigde Naties,nl,out_expansion,Koude_Oorlog
868,VS,Verenigde Staten,en,in_expansion,Koude_Oorlog
869,CCP,Chinese Communist Party,en,out_expansion,Koude_Oorlog
870,CIA,Central Intelligence Agency,en,out_expansion,Koude_Oorlog
871,CPN,Communistische Partij van Nederland,nl,out_expansion,Koude_Oorlog
872,DDR,Duitse Democratische Republiek,nl,in_expansion,Koude_Oorlog
873,DVPA,Democratische Volkspartij van Afghanistan,nl,in_expansion,Koude_Oorlog
874,INF-verdrag,Intermediate-Range Nuclear Forces verdrag,en,out_expansion,Koude_Oorlog
875,KGB,Komitet Gosudarstvennoy Bezopasnosti,none_of_above,out_expansion,Koude_Oorlog
876,MAD,mutually assured destruction,en,in_expansion,Koude_Oorlog
877,NAVO,Noord-Atlantische Verdragsorganisatie,nl,out_expansion,Koude_Oorlog
878,SALT-verdrag,Strategic Arms Limitation Talks verdrag,en,out_expansion,Koude_Oorlog
879,SDI,Strategic Defense Initiative,en,in_expansion,Koude_Oorlog
880,SOE,Special Operations Executive,en,out_expansion,Koude_Oorlog
881,USSR,Union of Soviet Socialist Republics,nl,in_expansion,Koude_Oorlog
882,VN,Verenigde Naties,nl,out_expansion,Koude_Oorlog
883,VS,Verenigde Staten,nl,in_expansion,Koude_Oorlog
884,AvA,Algemene vergadering van aandeelhouders,nl,in_expansion,Aandeel
885,ING,Internationale Nederlanden Groep,nl,out_expansion,Aandeel
886,VOC,Vereenigde Oostindische Compagnie,nl,in_expansion,Aandeel
887,VOC-aandeelhouder,Vereenigde Oostindische Compagnie-aandeelhouder,nl,in_expansion,Aandeel
888,VOC-kamer,Vereenigde Oostindische Compagnie-kamer,nl,in_expansion,Aandeel
889,bv,besloten vennootschap,nl,in_expansion,Aandeel
890,bv-recht,besloten vennootschap-recht,nl,out_expansion,Aandeel
891,flex-BV,flex-besloten vennootschap,nl,out_expansion,Aandeel
892,nv,naamloze vennootschap,nl,in_expansion,Aandeel
893,AvA,Algemene vergadering van aandeelhouders,nl,in_expansion,Aandeel
894,BV,besloten vennootschap,nl,in_expansion,Aandeel
895,ING,Internationale Nederlanden Groep,nl,out_expansion,Aandeel
896,IPO,Initial Public Offering,en,out_expansion,Aandeel
897,VOC,Vereenigde Oostindische Compagnie,nl,in_expansion,Aandeel
898,bv,besloten vennootschap,nl,in_expansion,Aandeel
899,nv,naamloze vennootschap,nl,in_expansion,Aandeel
900,ATP,Association of Tennis Professionals,en,in_expansion,Association_of_Tennis_Professionals
901,ATP,Association of Tennis Professionals,en,in_expansion,Association_of_Tennis_Professionals
902,ATP-kalender,Association of Tennis Professionals-kalender,en,in_expansion,Association_of_Tennis_Professionals
903,ATP-toernooien,Association of Tennis Professionals-toernooien,en,in_expansion,Association_of_Tennis_Professionals
904,ATP-tour,Association of Tennis Professionals-tour,en,in_expansion,Association_of_Tennis_Professionals
905,ITF,International Tennis Federation,en,out_expansion,Association_of_Tennis_Professionals
906,ITF,International Tennis Federation,en,out_expansion,Association_of_Tennis_Professionals
907,US,United States,en,out_expansion,Association_of_Tennis_Professionals
908,US,United States,en,out_expansion,Association_of_Tennis_Professionals
909,WTA,Women's Tennis Association,en,in_expansion,Association_of_Tennis_Professionals
910,WTA,Women's Tennis Association,en,in_expansion,Association_of_Tennis_Professionals
911,AUD,Australische dollar,nl,out_expansion,Australaziatische_PGA_Tour
912,AUD,Australische dollar,nl,out_expansion,Australaziatische_PGA_Tour
913,PGA,Professional Golfers Association,en,out_expansion,Australaziatische_PGA_Tour
914,PGA,Professional Golfers Association,en,out_expansion,Australaziatische_PGA_Tour
915,ASC,agence spatiale canadienne,none_of_above,in_expansion,Canadian_Space_Agency
916,ASC,agence spatiale canadienne,none_of_above,in_expansion,Canadian_Space_Agency
917,CSA,Canadian Space Agency,en,in_expansion,Canadian_Space_Agency
918,CSA,Canadian Space Agency,en,in_expansion,Canadian_Space_Agency
919,D.C.,District of Columbia,en,out_expansion,Canadian_Space_Agency
920,D.C.,District of Columbia,en,out_expansion,Canadian_Space_Agency
921,ISS,International Space Station,en,out_expansion,Canadian_Space_Agency
922,ISS,International Space Station,en,out_expansion,Canadian_Space_Agency
923,NASA,National Aeronautics and Space Administration,en,out_expansion,Canadian_Space_Agency
924,NASA,National Aeronautics and Space Administration,en,out_expansion,Canadian_Space_Agency
925,NBV,Nieuwe Bijbelvertaling,nl,out_expansion,Christendom
926,NBV,Nieuwe Bijbelvertaling,nl,out_expansion,Christendom
927,CDA,Christen-Democratisch Appèl,nl,out_expansion,Dienstplicht
928,CDA,Christen-Democratisch Appèl,nl,out_expansion,Dienstplicht
929,Milac,Militianen Actie,nl,out_expansion,Dienstplicht
930,Milac,Militianen Actie,nl,out_expansion,Dienstplicht
931,VVD,Volkspartij voor Vrijheid en Democratie,nl,out_expansion,Dienstplicht
932,VVD,Volkspartij voor Vrijheid en Democratie,nl,out_expansion,Dienstplicht
933,VVDM,Vereniging van Dienstplichtige Militairen,nl,in_expansion,Dienstplicht
934,VVDM,Vereniging van Dienstplichtige Militairen,nl,in_expansion,Dienstplicht
935,AG,advocaten-generaal,nl,in_expansion,Hoge_Raad_der_Nederlanden
936,AG,advocaten-generaal,nl,in_expansion,Hoge_Raad_der_Nederlanden
937,BW,Burgerlijk Wetboek,nl,out_expansion,Hoge_Raad_der_Nederlanden
938,BW,Burgerlijk Wetboek,nl,out_expansion,Hoge_Raad_der_Nederlanden
939,HR,Hoge Raad,nl,in_expansion,Hoge_Raad_der_Nederlanden
940,Jhr,Jonkheer,nl,out_expansion,Hoge_Raad_der_Nederlanden
941,Jhr,Jonkheer,nl,out_expansion,Hoge_Raad_der_Nederlanden
942,PG,procureur-generaal,nl,in_expansion,Hoge_Raad_der_Nederlanden
943,PG,procureur-generaal,nl,in_expansion,Hoge_Raad_der_Nederlanden
944,PHR,parket bij de Hoge Raad,nl,in_expansion,Hoge_Raad_der_Nederlanden
945,PHR,parket bij de Hoge Raad,nl,in_expansion,Hoge_Raad_der_Nederlanden
946,PVV,Partij voor de Vrijheid,nl,out_expansion,Hoge_Raad_der_Nederlanden
947,PVV,Partij voor de Vrijheid,nl,out_expansion,Hoge_Raad_der_Nederlanden
948,WB,wetenschappelijk bureau,nl,in_expansion,Hoge_Raad_der_Nederlanden
949,WB,wetenschappelijk bureau,nl,in_expansion,Hoge_Raad_der_Nederlanden
950,art.,artikel,nl,in_expansion,Hoge_Raad_der_Nederlanden
951,art.,artikel,nl,in_expansion,Hoge_Raad_der_Nederlanden
952,e-mail,electronic mail,en,out_expansion,Hoge_Raad_der_Nederlanden
953,e-mail,electronic mail,en,out_expansion,Hoge_Raad_der_Nederlanden
954,mr.,meester,nl,out_expansion,Hoge_Raad_der_Nederlanden
955,mr.,meester,nl,out_expansion,Hoge_Raad_der_Nederlanden
956,CMB,Cosmic Microwave Background,en,out_expansion,Hubbleconstante
957,CMB,Cosmic Microwave Background,en,out_expansion,Hubbleconstante
958,Mpc,megaparsec,nl,out_expansion,Hubbleconstante
959,WMAP,Wilkinson Microwave Anisotropy Probe,en,out_expansion,Hubbleconstante
960,WMAP,Wilkinson Microwave Anisotropy Probe,en,out_expansion,Hubbleconstante
961,km/s,kilometer per seconde,nl,out_expansion,Hubbleconstante
962,INCI,internationale naamgevingssysteem voor cosmetica-ingrediënten,nl,in_expansion,International_Nomenclature_of_Cosmetic_Ingredients
963,INCI,internationale naamgevingssysteem voor cosmetica-ingrediënten,nl,in_expansion,International_Nomenclature_of_Cosmetic_Ingredients
964,INCI-naam,internationale naamgevingssysteem voor cosmetica-ingrediënten-naam,nl,in_expansion,International_Nomenclature_of_Cosmetic_Ingredients
965,INCI-namen,internationale naamgevingssysteem voor cosmetica-ingrediënten-namen,nl,in_expansion,International_Nomenclature_of_Cosmetic_Ingredients
966,AMOL,Algemene Militaire Opleiding Luchtmobiel,nl,in_expansion,Koninklijke_Landmacht
967,AT,avondtenue,nl,in_expansion,Koninklijke_Landmacht
968,ATF,Afghan Territorial Force,en,in_expansion,Koninklijke_Landmacht
969,C-LAS,commandant Landstrijdkrachten,nl,in_expansion,Koninklijke_Landmacht
970,CBRN,"Chemische, Biologische, Radiologische of Nucleaire",nl,out_expansion,Koninklijke_Landmacht
971,CIS,Communicatie- en Informatiesystemen,nl,in_expansion,Koninklijke_Landmacht
972,CJTF-OIR,Combined Joint Task Force - Operation Inherent Resolve,en,in_expansion,Koninklijke_Landmacht
973,CLAS,Commando Landstrijdkrachten,nl,in_expansion,Koninklijke_Landmacht
974,COKL,Commando Opleidingen Koninklijke Landmacht,nl,out_expansion,Koninklijke_Landmacht
975,CT,ceremonieel tenue,nl,in_expansion,Koninklijke_Landmacht
976,CV,Combat Vehicle,en,out_expansion,Koninklijke_Landmacht
977,CVKL,Commando Verbindingen Koninklijke Landmacht,nl,in_expansion,Koninklijke_Landmacht
978,DAF,Doorne's Aanhangwagenfabriek,en,out_expansion,Koninklijke_Landmacht
979,DGLC,Defensie Grondgebonden Luchtverdedigingscommando,nl,in_expansion,Koninklijke_Landmacht
980,DMO,Defensie Materieel Organisatie,nl,in_expansion,Koninklijke_Landmacht
981,DOSCO,Defensie Ondersteuningscommando,nl,in_expansion,Koninklijke_Landmacht
982,DT,dagelijks tenue,nl,in_expansion,Koninklijke_Landmacht
983,ELCAN,Ernest Leitz Canada,en,out_expansion,Koninklijke_Landmacht
984,EU,Europese Unie,nl,out_expansion,Koninklijke_Landmacht
985,EU,Europese Unie,nl,out_expansion,Koninklijke_Landmacht
986,GCKL,Geneeskundig Commando Koninklijke Landmacht,nl,out_expansion,Koninklijke_Landmacht
987,GLT,gelegenheidstenue,nl,in_expansion,Koninklijke_Landmacht
988,GVT,gevechtstenue,nl,in_expansion,Koninklijke_Landmacht
989,HRFHQ,High Readiness Forces Headquarters,en,in_expansion,Koninklijke_Landmacht
990,ISAF,International Security Assistance Force,en,in_expansion,Koninklijke_Landmacht
991,ISAF,International Security Assistance Force,en,out_expansion,Koninklijke_Landmacht
992,JISTARC,Joint Intelligence Surveillance Target Acquisition and Reconnaissance Commando,en,out_expansion,Koninklijke_Landmacht
993,KCT,Korps Commandotroepen,nl,out_expansion,Koninklijke_Landmacht
994,KL,Koninklijke Landmacht,nl,in_expansion,Koninklijke_Landmacht
995,KL,Koninklijke Landmacht,nl,in_expansion,Koninklijke_Landmacht
996,KLu,Koninklijke Luchtmacht,nl,in_expansion,Koninklijke_Landmacht
997,KLu,Koninklijke Luchtmacht,nl,in_expansion,Koninklijke_Landmacht
998,KM,Koninklijke Marine,nl,in_expansion,Koninklijke_Landmacht
999,KM,Koninklijke Marine,nl,in_expansion,Koninklijke_Landmacht
1000,KMar,Koninklijke Marechaussee,nl,in_expansion,Koninklijke_Landmacht
1001,KMar,Koninklijke Marechaussee,nl,in_expansion,Koninklijke_Landmacht
1002,KTM,Kraftfahrzeuge Trunkenpolz Mattighofen,none_of_above,out_expansion,Koninklijke_Landmacht
1003,MINUSMA,United Nations Multidimensional Integrated Stabilization Mission,en,out_expansion,Koninklijke_Landmacht
1004,MTV,Medium Tactical Vehicle,en,in_expansion,Koninklijke_Landmacht
1005,MatlogCo,Materieellogistiek Commando Land,nl,in_expansion,Koninklijke_Landmacht
1006,NASAMS,Norwegian Advanced Surface-to-Air Missile System,en,out_expansion,Koninklijke_Landmacht
1007,NAVO,Noord-Atlantische Verdragsorganisatie,nl,out_expansion,Koninklijke_Landmacht
1008,NAVO,Noord-Atlantische Verdragsorganisatie,nl,out_expansion,Koninklijke_Landmacht
1009,NL,Nederland,nl,out_expansion,Koninklijke_Landmacht
1010,NLC,Nationaal Logistiek Commando,nl,in_expansion,Koninklijke_Landmacht
1011,NLMARSOF,Nederlandse Maritime Special Operations Forces,none_of_above,out_expansion,Koninklijke_Landmacht
1012,NTC,Nationaal Territoriaal Commando,nl,in_expansion,Koninklijke_Landmacht
1013,No.,numéro,none_of_above,out_expansion,Koninklijke_Landmacht
1014,OOCL,Operationeel Ondersteuningscommando Land,nl,in_expansion,Koninklijke_Landmacht
1015,OTCo,Opleidings- en Trainingscommando,nl,in_expansion,Koninklijke_Landmacht
1016,OVW'ers,oorlogsvrijwilligers,nl,in_expansion,Koninklijke_Landmacht
1017,PAC,Patriot Advanced Capability,en,out_expansion,Koninklijke_Landmacht
1018,PMC,Provinciaal Militair Commandant,nl,in_expansion,Koninklijke_Landmacht
1019,Patriot,Phased Array Tracking Radar to Intercept On Target,en,out_expansion,Koninklijke_Landmacht
1020,PzH,Pantserhouwitser,nl,out_expansion,Koninklijke_Landmacht
1021,RAS,Robotica en Autonome Systemen,nl,in_expansion,Koninklijke_Landmacht
1022,SLA,Schutters Lange Afstand,nl,in_expansion,Koninklijke_Landmacht
1023,SOAT,Special Operations Advisory Team,en,in_expansion,Koninklijke_Landmacht
1024,SOF,Special Operations Forces,en,in_expansion,Koninklijke_Landmacht
1025,THeMIS,Tracked Hybrid Modular Infantry System,en,out_expansion,Koninklijke_Landmacht
1026,TRML,Telefunken Radar Mobil Luftraumüberwachung,none_of_above,out_expansion,Koninklijke_Landmacht
1027,UNIFIL,Geneeskundig Commando,nl,out_expansion,Koninklijke_Landmacht
1028,UNIFIL,United Nations Interim Force in Lebanon,en,out_expansion,Koninklijke_Landmacht
1029,UNPROFOR,United Nations Protection Force,en,out_expansion,Koninklijke_Landmacht
1030,UNPROFOR,United Nations Protection Force,en,out_expansion,Koninklijke_Landmacht
